,city,count,latitude,longitude
141,Cur-labelle Nord,19,45.7500255,-73.9772115
142,Dalhousie,18,48.0634448,-66.369555
143,Dartmouth,3805,44.6799707,-63.5720232
144,Dauphin,18,51.153509,-100.04425
145,Dawson Creek,1002,55.7605306,-120.2364453
146,Dayton,103,43.8732781,-66.1049123
147,Delson,148,45.3749509,-73.5413403
148,Delta,13,49.0846258,-123.0579384
149,Deschaillons-sur-saint-laurent,90,46.556736,-72.114258
150,Devon,108,75.76378995,-90.64839408601
151,Dieppe,261,46.0945258,-64.7354772
152,Dolbeau-mistassini,348,48.883231,-72.233734
153,Dollard-des Ormeaux,60,45.48423,-73.8064547
154,Dollard-des-ormeaux,338,45.48423,-73.8064547
155,Donnacona,1142,46.676532,-71.73008
156,Dorchester,9,45.8992863,-64.5170033
157,Dorval,387,45.4453082,-73.7510888
158,Drayton Valley,79,53.21411265,-114.98288279058107
159,Drumheller,49,51.40159695,-112.61851667346612
160,Drummondville,1636,45.8864303,-72.5018764
161,Dryden,87,49.785698,-92.835846
162,Dufferin,11,43.6602019,-79.4357191
163,Dugald,32,49.8857175,-96.8428231
164,Duncan,371,48.7786872,-123.7080446
165,Dundurn,56,51.8095566,-106.5071698
166,Dunnville,38,42.9059168,-79.6188457
167,Dutton,10,42.6640129,-81.5026543
168,East Angus,24,45.4828558,-71.6594817
169,Eastern Passage,32,44.6116121,-63.4895289
170,Edmonton,18615,53.535411,-113.507996
171,Edmundston,199,47.364409,-68.328094
172,Edson,482,53.58102205,-116.45217961332912
173,Elie,3,49.9011596,-97.7578806
174,Elmira,6,43.5918999,-80.5121994
175,Elmvale,14,44.5837294,-79.8661611
176,Embrun,83,45.2742012,-75.2749125
177,Espanola,35,46.265341,-81.769867
178,Essex,212,41.875,-82.492891325
179,Esterhazy,24,50.65318275,-102.07124272379858
180,Estevan,75,49.1428076,-102.9910752
181,Etobicoke,162,43.6435559,-79.5656326
182,Exeter,132,43.3449871,-81.4801081
183,Fairview,66,56.073947,-118.3797878
184,Falmouth,53,44.9970721,-64.1639179
185,Farnham,30,45.2831,-72.974968
186,Fergus,72,43.7059439,-80.3779366
187,Fernie,144,49.5041747,-115.062867
188,Flesherton,24,44.2610602,-80.5457496
189,Flin Flon,188,54.769801,-101.878967
190,Fort Erie,19,42.91308,-78.918611
191,Fort Frances,155,48.6114425,-93.3967615
192,Fort Macleod,114,49.7264403,-113.4074009
193,Fort Mcmurray,938,56.7291997,-111.3885221
194,Fort Qu'appelle,25,50.7719106,-103.7958877
195,Fort Saskatchewan,185,53.7128571,-113.2148942
196,Fort St John,126,56.2524039,-120.846943
197,Fort St. John,29,56.2524039,-120.846943
198,Forteau,4,51.46466335,-56.93751349662313
199,Fredericton,1821,45.94780155,-66.65347069241668
200,Gananoque,55,44.3352722,-76.1646638
201,Gander,756,48.9592291,-54.6187879
202,Gasp,33,49.2731264,-122.8556133
203,Gasp�,14,49.2731264,-122.8556133
204,Gatineau,2611,45.4841214,-75.6813728
205,Georgetown,25,46.1844077,-62.5315437
206,Georgina,99,44.341595749999996,-79.34615813017496
207,Gibsons,39,49.399395299999995,-123.51006228641512
208,Gimli,55,50.66179565,-97.04711772786553
209,Glencoe,6,45.9490042,-61.3267909
210,Gloucester,44,45.4350565,-75.6089267
211,Goderich,1015,43.7430924,-81.7110949
212,Golden,15,51.2982585,-116.9642785
213,Gorrie,9,43.8711909,-81.1092278
214,Granby,1645,45.3990409,-72.721834
215,Grand Falls-windsor,354,48.944151,-55.652618
216,Grand Forks,40,49.03333625,-118.45018043556618
217,Grand Sault Grand Falls,31,47.0537097,-67.77897451624645
218,Grand-sault,158,47.0463119,-67.7393601
219,Grande Prairie,3950,55.17108,-118.7949873
220,Grande-Riviere,5,67.4196602,-131.6356943
221,Gravenhurst,27,44.91741,-79.373131
222,Greater Sudbury,1584,46.49272,-80.991211
223,Green Valley,26,45.258352,-74.5970907
224,Greenwood,130,49.089585,-118.676876
225,Grenville,13,45.622998,-74.5969294
226,Grimsby,1005,43.1932094,-79.5606922
227,Grimshaw,22,56.1879236,-117.6082752
228,Guelph,2538,43.5460516,-80.2493276
229,Hagersville,8,42.961976,-80.0517133
230,Hague,29,52.511206,-106.417694
231,Haliburton,66,45.6893734,-62.7420893
232,Halifax,2917,44.648618,-63.5859487
233,Halton Hills,435,43.64701,-80.017604
234,Hamilton,3036,43.2560802,-79.8728583
235,Hanna,40,51.6445566,-111.927479
236,Hanover,85,49.421589499999996,-96.7814848768908
237,Happy Valley-goose Bay,10,53.2964352,-60.3111895
238,Hartford,8,45.7568843,-63.6292737
239,Hawkesbury,188,45.610281,-74.6055611
240,Hay River,9,60.8155874,-115.7866099
241,Headingley,116,49.868087,-97.391052
242,Hearst,94,49.690732,-83.666382
243,Hebbville,135,44.3459493,-64.5453646
244,Herouxville,35,46.677239,-72.617569
245,High Level,54,58.516667,-117.133333
246,High Point,15,49.007570799999996,-122.67176353256122
247,High Prairie,119,55.4358916,-116.4894792
248,High River,125,50.5797079,-113.8569213
249,Hinton,63,53.3990512,-117.5886772
250,Holland Landing,29,44.1015097,-79.4914772
251,Hope,120,49.3799438,-121.441351
252,Hornby,64,43.5685294,-79.841421
253,Houston,75,54.3982667,-126.6477077
254,Humboldt,472,52.2020709,-105.1231093
255,Huntingdon,20,45.087339,-74.173851
256,Huntsville,454,45.3263919,-79.218434
257,Ile-des-soeurs,58,45.2937286,-74.0393565
258,Indian Head,20,50.533333,-103.666667
259,Ingersoll,56,43.037725,-80.88211
260,Ingleside,17,44.9954941,-74.9867427
261,Innisfail,209,52.0200845,-113.9494301
262,Innisfil,195,44.3150892,-79.5461073
263,Jarvis,10,42.8844706,-80.1139414
264,Joliette,503,46.0239798,-73.4419936
265,Kaladar,14,44.647651,-77.12162
266,Kamloops,661,50.6758269,-120.339415
267,Kapuskasing,27,49.416667,-82.433333
268,Kawartha Lakes,256,44.575616,-78.8486034
269,Kelowna,3633,49.8879177,-119.4959025
270,Kemptville,75,44.0462261,-65.8349997
271,Kenora,113,49.766215,-94.4893528
272,Kentville,680,45.0784875,-64.495212
273,Keswick,1,53.4190007,-113.636786
274,Killaloe,9,45.5563714,-77.4181237
275,Killam,18,52.7929777,-111.8549407
276,Killarney,9,49.21801175,-123.03711501300283
277,Kimberley,18,49.6850876,-115.9819477
278,Kincardine,100,44.1776378,-81.6348713
279,Kindersley,65,51.4687094,-109.1581355
280,King,18,43.6489494,-79.3777538
281,Kingston,1636,44.230687,-76.481323
282,Kipling,41,50.1001332,-102.6331656
283,Kirkland,64,45.4529194,-73.8647559
284,Kirkland Lake,3,48.154177,-80.031281
285,Kitchener,2689,43.451291,-80.4927815
286,Komoka,56,42.9452837,-81.4321521
287,L'Epiphanie,51,45.8496816,-73.48463299084608
288,L'Etang-du-nord,20,47.3725481,-61.9513422
289,L'ancienne-lorette,37,46.8063745,-71.3584717
290,L'ange-gardien,19,46.916738,-71.091499
291,L'assomption,15,45.8307051,-73.4222086
292,L'le-des-soeurs,23,47.037344,-70.4564271
293,L'le-perrot,174,45.3553727,-73.8880368
294,La Guadeloupe,12,45.961413,-70.938034
295,La Malbaie,252,47.657525,-70.153885
296,La Prairie,517,45.4175472,-73.4891432
297,La Sarre,132,48.8000956,-79.2010223
298,La Tuque,6,47.441092,-72.78511
299,Labrador City,11,52.9422944,-66.9177291
300,Lac La Biche,19,54.871689450000005,-112.18106705000002
301,Lac-Megantic,37,45.5772636,-70.8819927
302,Lac-etchemin,88,46.398804,-70.508194
303,Lachine,689,45.4486681,-73.7111856
304,Lachute,139,45.6560478,-74.3401388
305,Lacombe,82,52.3788872,-113.8225021
306,Lakeshore,91,42.3038299,-82.8189267
307,Lambton Shores,41,43.19264175,-81.90202425000001
308,Langenburg,56,50.8417915,-101.7015535
309,Langford,57,48.4497693,-123.5046662
310,Langley,332,49.098648749999995,-122.65923259915698
311,Langley City,2348,49.1039289,-122.657047
312,Lasalle,103,45.4325141,-73.6292667
313,Laurier-station,55,46.540207,-71.632919
314,Laval,11867,45.60558895,-73.73441730569056
315,Leamington,107,42.0531166,-82.5996998
316,Leduc,1206,45.25333475,-74.11875879336566
317,Legal,18,53.9487406,-113.5954265
318,Les Escoumins,10,48.34621,-69.404068
319,Lethbridge,1501,49.694285,-112.851562
320,Levis,1724,46.7910096,-71.1753274
321,Lincoln,36,49.2803689,-122.7940158
322,Lindsay,10,44.3551266,-78.7369939
323,Listowel,229,43.731593,-80.952882
324,Lloydminster,272,53.278472,-110.0300919
325,Logan Lake,41,50.4944633,-120.8133659
326,London,6280,42.9537654,-81.2291529
327,Longueuil,2198,45.5333387,-73.4200318
328,Lorrainville,24,47.354641,-79.351501
329,Louiseville,94,46.255609,-72.947502
330,Lourdes,12,46.326542,-71.819344
331,Lower Sackville,491,44.7734627,-63.6884186
332,Lucan,11,43.1878148,-81.4031356
333,Lucknow,6,43.961848,-81.5172512
334,Lunenburg,57,44.375059199999995,-64.31677401717903
335,Madoc,21,44.58180005,-77.50766798148976
336,Magog,702,45.265463,-72.147903
337,Maniwaki,8,46.3778839,-75.9807967
338,Manning,3,56.9234624,-117.6272624
339,Maple Creek,7,49.90597555,-109.4791629731807
340,Maple Ridge,1991,49.2197345,-122.5997078
341,Markham,2659,43.8563707,-79.3376825
342,Marmora,1,44.4827759,-77.6823297
343,Marystown,12,47.1658498,-55.1579778
344,Mascouche,950,45.7453521,-73.6005591
345,Matane,80,48.8468633,-67.5295977
346,Matheson,6,53.5645621,-113.55400766871793
347,Mcmasterville,138,45.5492232,-73.2302916
348,Meadow Lake,62,54.13026,-108.435059
349,Meaford,14,44.6069298,-80.5916531
350,Medicine Hat,906,50.04303,-110.679016
351,Melanson Settlement,23,46.0830801,-64.6437964
352,Melfort,138,52.8613707,-104.6135544
353,Melita,13,49.2691138,-100.9904623
354,Melville,15,50.9307241,-102.807296
355,Mercier,191,45.310444,-73.746051
356,Merritt,12,50.1124876,-120.7884149
357,Metabetchouan-lac--la-croix,17,48.4280612,-71.8716133
358,Middle Sackville,46,44.8014509,-63.7296755
359,Middleton,1111,44.942431,-65.0680746
360,Midland,310,44.750147,-79.885712
361,Mill Bay,17,48.651057,-123.556366
362,Milton,1435,43.513671,-79.882817
363,Milton Ns,33,44.0567521,-64.7486118
364,Mindemoya,61,45.7328062,-82.166309
365,Minden,28,44.9254436,-78.72493
366,Minto,38,46.0776889,-66.0784986
367,Mirabel,1163,45.6337518,-74.09484872905725
368,Miramichi,500,47.032695,-65.494995
369,Mission,1074,49.2308169,-122.34689898596106
370,Mississauga,7456,43.5896231,-79.6443879
371,Mitchell,18,49.5316596,-96.7605562
372,Moncton,1601,46.097995,-64.80011
373,Mono,168,43.9462199,-80.1042319
374,Mont Laurier,17,46.5524071,-75.4968899
375,Mont-joli,52,48.583875,-68.183899
376,Mont-laurier,209,46.5524071,-75.4968899
377,Mont-royal,534,45.5086157,-73.5903112
378,Mont-saint-hilaire,36,45.5623512,-73.1918864
379,Mont-tremblant,12,46.11588,-74.5891426
380,Montague,39,46.1708855,-62.6538278
381,Montmagny,768,46.9398912,-70.51858315005107
382,Montreal,5320,45.5031824,-73.5698065
383,Montreal Nord,34,45.604752950000005,-73.62765815990457
384,Montreal-est,124,45.6309797,-73.4977437
385,Montreal-ouest,1,45.452853,-73.6442548
386,Moose Jaw,426,50.401515,-105.542908
387,Moosomin,97,50.145009400000006,-101.67100242408864
388,Morden,18,49.1927055,-98.1014567
389,Morrisburg,25,44.8977043,-75.1829545
390,Mount Brydges,59,42.9097165,-81.4957317
391,Mount Forest,6,43.9806979,-80.7338237
392,Mount Pearl,278,47.518937699999995,-52.81444433806577
393,Nanaimo,920,49.163877,-123.938122
394,Napanee,451,44.2534894,-76.9542687
395,Neepawa,14,50.2319353,-99.4637261
396,Nelson,35,49.494891,-117.290039
397,Nepean,67,45.3446891,-75.7639408
398,Neuville,1,46.698199,-71.584854
399,New Canada,52,44.489342199999996,-64.67955045946746
400,New Glasgow,295,45.5869474,-62.6483547
401,New Hamburg,125,43.3784216,-80.7097716
402,New Liskeard,56,47.508731,-79.6789029
403,New Minas,327,45.0659745,-64.4556651
404,New Richmond,100,48.1651194,-65.8655584
405,New Tecumseth,25,44.0818996,-79.77443058053504
406,New Westminster,860,49.2067726,-122.9108818
407,Newbury,16,42.684563,-81.7993229
408,Newmarket,1388,44.056258,-79.461708
409,Niagara Falls,469,43.1065603,-79.0639039
410,Niagara-on-the-lake,33,43.2556116,-79.0723264
411,Nicolet,25,46.2273284,-72.6191889
412,Nipawin,407,53.362846,-104.017181
413,Nipigon,25,49.80096655,-88.32428746349896
414,Nisku,29,53.333333,-113.533333
415,Nobleton,61,43.9022127,-79.652722
416,North Battleford,223,52.776186,-108.300476
417,North Bay,917,46.3092115,-79.4607617
418,North Saanich,26,48.6563671,-123.4327941
419,North Vancouver,951,49.3206294,-123.0737925
420,North York,1021,43.7543263,-79.44911696639593
421,Norwood,119,44.0620297,-66.0266762
422,Notre Dame Des Prairies,139,46.0421555,-73.4351195
423,Notre-dame-des-pins,168,46.183158,-70.713844
424,Notre-dame-des-prairies,183,46.0421555,-73.4351195
425,Notre-dame-des-prairies - Joliette,10,46.0421555,-73.4351195
426,Oak Bay,32,48.4261126,-123.3170727
427,Oakville,3275,43.447436,-79.666672
428,Okotoks,887,50.7253685,-113.975082
429,Olds,442,51.7923735,-114.1130367
430,Oliver,9,49.18631205,-119.54756820536633
431,Orangeville,781,43.9193171,-80.0973754
432,Orillia,318,44.6092059,-79.4175587
433,Oromocto,17,45.8474496,-66.471212
434,Oshawa,727,43.8975558,-78.8635324
435,Ottawa,7977,45.4211435,-75.6900574
436,Owen Sound,245,44.5678105,-80.9430094
437,Paisley,16,53.4139488,-113.559332
438,Papineauville,40,45.61884,-75.020142
439,Paradise,20,44.8697855,-65.2075188
440,Paradise Hill,44,53.5366497,-109.4620026
441,Parksville,56,49.3179514,-124.3117397
442,Parry Sound,173,45.3436067,-80.0337392
443,Paspebiac,39,48.0294111,-65.2490836
444,Peace River,335,56.23253295,-117.32067067804391
445,Pelham,54,43.0445702,-79.2838481
446,Pembroke,438,45.8260909,-77.113541
447,Penticton,1205,49.5003268,-119.5932499
448,Perth,110,44.8992423,-76.2487294
449,Petawawa,71,45.8984286,-77.2826645
450,Peterborough,547,44.3048009,-78.3199496
451,Petersfield,4,50.3047521,-96.9630202
452,Petrolia,87,42.882002,-82.149582
453,Pickering,964,43.835765,-79.090576
454,Pincher Creek,32,49.4914699,-113.95256806594631
455,Pincourt,428,45.371202,-73.986053
456,Pitt Meadows,686,49.2207623,-122.6901534
457,Plessisville,123,46.219515,-71.771965
458,Plympton-wyoming,21,43.0699736,-82.1529152
459,Point Edward,1,46.1626865,-60.276691
460,Pointe-aux-trembles,113,45.667824350000004,-73.50513339569802
461,Pointe-claire,441,45.4566767,-73.8067442
462,Ponoka,659,52.6794142,-113.5871706
463,Port Alberni,86,49.2343668,-124.8056517
464,Port Coquitlam,539,49.2621643,-122.7805425
465,Port Dover,22,42.7845713,-80.2005169
466,Port Elgin,6,46.0451741,-64.0898064
467,Port Hardy,58,50.7244402,-127.4976081
468,Port Hawkesbury,88,45.6180851,-61.3574589
469,Port Hope,200,43.9515755,-78.2939704
470,Port Moody,324,49.2822243,-122.8293424
471,Port Perry,27,44.1054151,-78.9425076
472,Port Sydney,5,45.2209022,-79.2935709
473,Portage La Prairie,102,49.972422,-98.289185
474,Powell River,26,49.835676,-124.524412
475,Prescott,33,44.7184132,-75.5191675
476,Prince Albert,1266,53.201097,-105.748901
477,Prince Edward,54,46.248346350000006,-63.13584715141698
478,Prince George,865,53.9128645,-122.7453699
479,Princeville,11,46.1722898,-71.8751852
480,Provost,58,52.3547862,-110.263915
481,Puslinch,54,43.47750295,-80.11377014121024
482,Quebec,4532,52.4760892,-71.8258668
483,Quebec City,140,46.8137431,-71.2084061
484,Quesnel,730,52.9794279,-122.4936273
485,Quinte West,113,44.191211,-77.5666791
486,Rawdon,33,46.0454129,-73.7107666
487,Raymond,9,49.4606969,-112.6558579
488,Red Deer,1312,52.2697395,-113.8181766
489,Red Deer County,326,52.1040224,-113.767473
490,Redwater,26,53.9527743,-113.1124871
491,Regina,6494,50.44876,-104.61731
492,Renfrew,51,45.4720417,-76.6838617
493,Repentigny,1233,45.7326055,-73.4528307
494,Rexton,157,46.641481,-64.8645487
495,Richelieu,33,45.4418993,-73.2500193
496,Richibucto,12,46.6742757,-64.867452
497,Richmond,6357,49.163168,-123.137414
498,Richmond Hill,842,43.880078,-79.439392
499,Rimbey,75,52.64338875,-114.22973190092168
500,Rimouski,831,48.450155,-68.529968
501,Riviere-du-loup,465,47.8358164,-69.5368025
502,Roberval,251,48.514785,-72.224808
503,Roblin,33,51.233333,-101.35
504,Rockland,87,45.0065642,-64.7041513
505,Rocky Mountain House,102,52.38196845,-114.91205773182915
506,Rodney,6,45.6088821,-64.0335498
507,Rosetown,77,51.554815,-107.9912859
508,Rouyn-noranda,793,48.2420524,-79.0205378
509,Saguenay,1189,48.405959,-71.069183
510,Saint Bernard,22,46.498156,-71.137161
511,Saint George,5,48.425945299999995,-58.48950759805099
512,Saint John,754,45.278752,-66.058044
513,Saint-Laurent-de-l'Île-d'Orléans,12,46.878185450000004,-70.996714053301
514,Saint-Léonard-d'Aston,8,46.107041,-72.37484
515,Saint-Rémi,156,45.2591064,-73.6188315
516,Saint-agapit,26,46.562873,-71.435165
517,Saint-albert,4,46.0003622,-72.0885118
518,Saint-ambroise-de-kildare,45,46.078336,-73.5523887
519,Saint-anselme,44,46.6296389,-70.9705238
520,Saint-apollinaire,67,46.61195,-71.513786
521,Saint-augustin-de-desmaures,15,46.743354,-71.4569733
522,Saint-barthelemy,11,46.1912244,-73.1199
523,Saint-basile-le-grand,344,45.526246,-73.2876515
524,Saint-boniface,10,46.505246,-72.828712
525,Saint-bruno-de-montarville,136,45.5256161,-73.3391798
526,Saint-cesaire,26,45.4100995,-73.0040509
527,Saint-chrysostome,10,45.1027107,-73.7599069
528,Saint-clet,18,45.3529778,-74.2236363
529,Saint-constant,290,45.3724897,-73.5704589
530,Saint-cyrille-de-wendover,14,45.933005,-72.424622
531,Saint-esprit,104,45.898371,-73.666077
532,Saint-eustache,5241,45.5646052,-73.8929714
533,Saint-felicien,667,48.654232,-72.448654
534,Saint-felix-de-kingsey,9,45.7953454,-72.1905062
535,Saint-francois-du-lac,34,46.065132,-72.823563
536,Saint-georges,549,46.122987,-70.671959
537,Saint-henri,14,46.692077,-71.067123
538,Saint-hubert,78,45.5042755,-73.4216976
539,Saint-hyacinthe,766,45.627484,-72.940636
540,Saint-isidore,32,46.585058,-71.090469
541,Saint-jean-sur-richelieu,916,45.3056879,-73.2533401
542,Saint-jerome,1162,45.775426,-74.013176
543,Saint-joseph-de-beauce,3,46.310181,-70.877953
544,Saint-joseph-de-kamouraska,1,47.610323,-69.6419516
545,Saint-joseph-du-lac,61,45.5333352,-74.0060242
546,Saint-laurent,7,45.49594985,-73.7230671808926
547,Saint-lin - Laurentides,38,45.857047699999995,-73.78085836161237
548,Saint-ludger,1,45.742131,-70.694618
549,Saint-martin,20,45.9592501,-70.6562051
550,Saint-michel,13,45.2381816,-73.5699087
551,Saint-nicolas,843,46.7000531,-71.3965556
552,Saint-norbert,31,46.1698417,-73.3147505
553,Saint-norbert-d'arthabaska,12,46.1067126,-71.820649
554,Saint-pascal,71,47.5266271,-69.8074463
555,Saint-pie,19,45.504903,-72.905273
556,Saint-prosper,49,46.211675,-70.481071
557,Saint-raymond,187,46.889058,-71.835136
558,Saint-roch-de-l'achigan,9,45.856065,-73.593292
559,Saint-sulpice,208,45.826646,-73.358116
560,Saint-thomas,23,46.0138485,-73.3508635
561,Saint-Éphrem-de-Beauce,6,46.059891,-70.953827
562,Sainte-Anne-de-Beaupré,4,47.0260796,-70.9253362
563,Sainte-Anne-de-la-Pérade,1,46.5714957,-72.2086114
564,Sainte-Thérèse,122,45.6342923,-73.8362379
565,Sainte-agathe-des-monts,322,46.046072,-74.279938
566,Sainte-anne-de-beaupre,11,47.0260796,-70.9253362
567,Sainte-anne-des-lacs,20,45.8615511,-74.1244186
568,Sainte-anne-des-monts,16,49.0960983,-66.41107230421366
569,Sainte-brigitte-de-laval,105,47.0025,-71.194496
570,Sainte-catherine,172,45.400642,-73.5756074
571,Sainte-julie,302,45.5930624,-73.3395943
572,Sainte-julienne,33,45.9624229,-73.710013
573,Sainte-justine,30,46.410405,-70.348206
574,Sainte-madeleine,6,45.594822,-73.093758
575,Sainte-marie,252,46.450395,-71.030731
576,Sainte-sophie,48,45.818718,-73.8991887
577,Salaberry-de-valleyfield,876,45.2555625,-74.1316153
578,Salmon Arm,552,50.7005059,-119.2790529
579,Sarnia,841,42.9746137,-82.4065585
580,Saskatoon,4911,52.131802,-106.660767
581,Saugeen Shores,42,44.4132114,-81.40823751997623
582,Sault Ste. Marie,1439,46.52391,-84.320068
583,Scarborough,1174,43.7729744,-79.2576479
584,Schomberg,34,44.001387,-79.682541
585,Schreiber,4,48.8114595,-87.2627416
586,Scott,37,46.504773,-71.071243
587,Seaforth,56,44.6724025,-63.2624061
588,Sechelt,51,49.4721147,-123.7631244
589,Selkirk,207,50.146986,-96.880188
